id,file_platform,file_language,file_name,text,labels,binary_labels
0,stormfront,en,gibert2018en.csv,"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",['none'],0.0
1,stormfront,en,gibert2018en.csv,"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",['none'],0.0
2,stormfront,en,gibert2018en.csv,( Simply copy and paste the following text into your YouTube videos description boxes. ),['none'],0.0
3,stormfront,en,gibert2018en.csv,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,['hate'],1.0
4,stormfront,en,gibert2018en.csv,Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .,['none'],0.0
5,stormfront,en,gibert2018en.csv,"Booklet updated on Feb. 14th , 2014 .",['none'],0.0
6,stormfront,en,gibert2018en.csv,"( Now with over 18,300 Downloads. )",['none'],0.0
7,stormfront,en,gibert2018en.csv,PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?,['none'],0.0
8,stormfront,en,gibert2018en.csv,Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?,['none'],0.0
9,stormfront,en,gibert2018en.csv,Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/Booklet-Description-Box _ Info.txt,['none'],0.0
10,stormfront,en,gibert2018en.csv,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",['hate'],1.0
11,stormfront,en,gibert2018en.csv,Thank you for the info. i will deffinetly look into them .,['none'],0.0
12,stormfront,en,gibert2018en.csv,I hope there is room for one more as i am very excited about this .,['none'],0.0
13,stormfront,en,gibert2018en.csv,I just came across this piece of garbage .,['none'],0.0
14,stormfront,en,gibert2018en.csv,Comments say she is from SA .,['none'],0.0
15,stormfront,en,gibert2018en.csv,Warning : Graphic .,['none'],0.0
16,stormfront,en,gibert2018en.csv,Die Antwoord - `` Cookie Thumper '' ( Official Video ) - YouTube,['none'],0.0
17,stormfront,en,gibert2018en.csv,The whites are more in the range of 4.8 million .,['none'],0.0
18,stormfront,en,gibert2018en.csv,I believe this can be higher since I 've read reports that especially whites in the Free State were not counted in the latest census .,['none'],0.0
19,stormfront,en,gibert2018en.csv,Thank you for posting your story .,['none'],0.0
20,stormfront,en,gibert2018en.csv,I think you should write a book as well .,['none'],0.0
21,stormfront,en,gibert2018en.csv,"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .",['hate'],1.0
22,stormfront,en,gibert2018en.csv,And the sad thing is the white students at those schools will act like that too .,['hate'],1.0
23,stormfront,en,gibert2018en.csv,"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",['none'],0.0
