id,file_platform,file_language,file_name,text,labels,binary_labels
0,fox news,en,gao2018en.csv,Merkel would never say NO,['hate'],1.0
1,fox news,en,gao2018en.csv,"Expect more and more women to be asking .. ""why are men no longer interested in me""! We're not going touch you until you pull our pants down!",['hate'],1.0
2,fox news,en,gao2018en.csv,"Groping people in public wasn't already illegal? What's up with that, Deutschland?",['none'],0.0
3,fox news,en,gao2018en.csv,"Merkel, possible the only person in charge who is worse than what we have. Obama is trying his hardest though to get to Merkel's level. ""A 21-year-old Iraqi man was convicted of sexual assault and given a one-year suspended sentence. A 26-year-old Algerian man was convicted of abetting a sexual assault and attempted assault, and given the same sentence."" Sounds exactly like how Obama is trying to let all of the black people in this country get away with everything.",['hate'],1.0
4,fox news,en,gao2018en.csv,"They know very well, no means NO! They need to pass a law making it legal to castrate those animals.",['hate'],1.0
5,fox news,en,gao2018en.csv,look like merkel just want to get laid,['hate'],1.0
6,fox news,en,gao2018en.csv,""" but criticized two measures in the bill that could see people who aren't directly involved in the assault punished and foreigners deported for sexual harassment"" Sounds like some German Legislators have the same mental disease the Democrats and Republicans who opposed Kate's Law had. Deporting people who are not citizens for acting like savages - how cruel!! (sarcasm)",['hate'],1.0
7,fox news,en,gao2018en.csv,"She said ""GO"", not ""NO"" ~ ~ Slime ball Lawyers everywhere.",['none'],0.0
8,fox news,en,gao2018en.csv,"So, how many sexual assaults would there be if Muslims were burned in ovens?",['hate'],1.0
9,fox news,en,gao2018en.csv,Probably a lot less. What's your point?,['hate'],1.0
10,fox news,en,gao2018en.csv,"In true liberal fashion, an ordinance that no means no, was passed. That will end all rapes by muslimes in Fatherland.",['hate'],1.0
11,fox news,en,gao2018en.csv,The Russians raped millions of German women and children at the end of WWII. Now the German people have to contend with this bunch of savages? How pathetic is it that a country has to cow-tow to a hoard of uncivilized migrants. Take your country back Germany.,['hate'],1.0
12,fox news,en,gao2018en.csv,"Great, now lets have a talk with Africa.",['hate'],1.0
13,fox news,en,gao2018en.csv,"Imagine that, Muslims are the problem...?",['hate'],1.0
14,fox news,en,gao2018en.csv,A one-year suspended sentence? Wow. That's really harsh.,['none'],0.0
15,fox news,en,gao2018en.csv,Even though the woman was lying about the whole thing....LOL,['none'],0.0
16,fox news,en,gao2018en.csv,You mean all 50?,['none'],0.0
17,fox news,en,gao2018en.csv,"This will work great, just like the bracelets they handed out that said don't touch me. Liebrals will never learn. hahahahahahaha",['hate'],1.0
18,fox news,en,gao2018en.csv,"Just say ""No."" Yeah that'll stop those nasty rapists, especially the Muslims.",['hate'],1.0
19,fox news,en,gao2018en.csv,"How does one say ""NO"" in Arabic ?",['hate'],1.0
20,fox news,en,gao2018en.csv,"No idea, but an M16A4 will translate any language into Arabic.",['hate'],1.0
21,fox news,en,gao2018en.csv,GLOCK,['hate'],1.0
22,fox news,en,gao2018en.csv,"Women aren't allowed to say ""NO"" in arab countries.",['hate'],1.0
23,fox news,en,gao2018en.csv,7.62 x 39 mm,['hate'],1.0
24,fox news,en,gao2018en.csv,I think it sounds the same as an M4 bolt chambering a round.,['hate'],1.0
25,fox news,en,gao2018en.csv,My Lilly Esin once in a blue moon got a new choice of the crop Chevrolet Corvette Stingray Coupe by unavailable off of a laptop... Flash it out.,['none'],0.0
26,fox news,en,gao2018en.csv,"That's it pass more laws, you know cause paper and ink prevents crime.",['none'],0.0
27,fox news,en,gao2018en.csv,"Ignorant troll. No one said the new law will prevent crime, just that it will make it easier to prosecute criminals --- which is a good thing.",['none'],0.0
28,fox news,en,gao2018en.csv,no habla deutch.... No means white chicks want you more in Arabic mongrelland German politicians that approved of the refugee invaders are responsible for each and every crime committed by these mongrels! German citizens should kick all politicians and refugee invaders OUT!.,['hate'],1.0
29,fox news,en,gao2018en.csv,"German citizens elected Merkel, who LOVES Muslims - and until German citizens take their country back, they are responsible for what happens.",['hate'],1.0
30,fox news,en,gao2018en.csv,is she related to BroBama ?,['none'],0.0
31,fox news,en,gao2018en.csv,when no doesn't work...it is advisable to have some way to protect yourself,['none'],0.0
32,fox news,en,gao2018en.csv,"How about very sharp, steel tipped shoes. Give the sand monkey several hard kicks in the groin and it will know the meaning of ""NEIN"" !",['hate'],1.0
33,fox news,en,gao2018en.csv,"don't think so because these muzzieazzholes are battle-hardened, decades of being kicked by sheep and goats made them numb",['hate'],1.0
34,fox news,en,gao2018en.csv,A really sharp knife and it will only happen once ...............,['hate'],1.0
35,fox news,en,gao2018en.csv,"Germany, another of those wonderful liberal socialist countries where citizens can't carry guns...",['none'],0.0
36,fox news,en,gao2018en.csv,"Imagine that, Muslims are the problem...?",['hate'],1.0
37,fox news,en,gao2018en.csv,Merkels legacy. soon to come to your city.,['none'],0.0
38,fox news,en,gao2018en.csv,"We're armed, Rufus!",['hate'],1.0
39,fox news,en,gao2018en.csv,Do you really need a law to establish that no means no? Apparently so. Humanity has reached a sad state.,['none'],0.0
40,fox news,en,gao2018en.csv,STUPID Politicians seeking relevancy to the stupid sheeple!,['none'],0.0
41,fox news,en,gao2018en.csv,"Learn to read. Previous law required a victim to put up a physical struggle before the rapist could be prosecuted.. The new law only requires her to say ""no"".",['none'],0.0
42,fox news,en,gao2018en.csv,So if they are alone who has to prove it was said?,['none'],0.0
43,fox news,en,gao2018en.csv,Government is the impossibility of reason........... Platoon,['none'],0.0
44,fox news,en,gao2018en.csv,The Germans invited this filth into their once-great nation by electing Merkel -- and handed law and order over to the EU bureaucrats in Brussels. Now they are too timid to take their country back.,['hate'],1.0
45,fox news,en,gao2018en.csv,"Until the whole world recognizes Islam for what it is, HATE SPEECH, this type of barbarism will only go on. The Muslims feel it is their right to obey only the laws that they agree with. Sexist attitudes against women are a core belief of Islam.",['hate'],1.0
46,fox news,en,gao2018en.csv,"If Islam was only hate speech, they wouldn't be a problem, just an annoyance. Unfortunately Islam preaches, teaches, demands, applauds and rewards violent behavior. That is much worse than speech.",['hate'],1.0
47,fox news,en,gao2018en.csv,If it's not written in Sharia law (and it's NOT) then they (Muslims) ultimately won't care.,['hate'],1.0
48,fox news,en,gao2018en.csv,It's a shame that you have no idea what you are talking about.,['none'],0.0
49,fox news,en,gao2018en.csv,"Why are liberals always against deporting foreign criminals? They must support their crimes, I guess.",['none'],0.0
50,fox news,en,gao2018en.csv,"Liberal elites -- insulated from these crimes -- don't care if we get hurt, just so they can feel all tolerant and all.",['none'],0.0
51,fox news,en,gao2018en.csv,Liberals are always pandering for votes from criminals.,['none'],0.0
