text,labels,binary_labels
Immigrants like you do not deserve to live. ,hateful,1
Gay people do not belong on this earth. ,hateful,1
Three immigrants were elected to parliament today. ,non-hateful,0
I wish I could date a black person. ,non-hateful,0
Am I wrong to think that those kinds of immigrants ought to be executed?,hateful,1
"If I woke up as a black person, I would kill myself. ",hateful,1
Women like you are justpathetic. ,hateful,1
Women are nothing but refuse. ,hateful,1
Queer liberation is about dismantling the systems that oppress us. ,non-hateful,0
I haet gay people. ,hateful,1
Black lives do not matter. ,hateful,1
I am not surprised the idea was bullshit. It came from a black person after all. ,hateful,1
I want to k1ll all gay people. ,hateful,1
I'm glad people are realising immigrants are not at all ignorant. ,non-hateful,0
The life of any insect is more valuable than that of a black person. ,hateful,1
"She should be kicked off the platform for saying ""trans people should all be killed"". ",non-hateful,0
That's only natural for a rapefugee like you. ,hateful,1
My dog is smarter than any gay person could ever be. ,hateful,1
You gay people keep acting up. There really is nothing worse than your kind. ,hateful,1
Of course the gy person was the worst of all these motherfuckers. ,hateful,1
The reviews for that film are just pathetic. ,non-hateful,0
Musl1ms are the absolute worst. ,hateful,1
It's in gay people's nature to be uncivilised. ,hateful,1
They are just a bunch of Jihadis. ,hateful,1
I'd rather have cancer than be anywhere near a trans person. ,hateful,1
My students usually can't wait for me to fuck off. ,non-hateful,0
Execution is the only solution for those trans people. ,hateful,1
Immigrants are a cancer. ,hateful,1
Writing that disabled people are all assholes says a lot about how small-minded you are. ,non-hateful,0
We must not let any woman live. ,hateful,1
Only trans people can be so ignoratn. ,hateful,1
I would love to see those gay people suffre. ,hateful,1
The things in my trunk are absolute filth. ,non-hateful,0
How about we cut these women's throats?,hateful,1
All disabled people like them are vile. ,hateful,1
"Writing that ""all black people are such massive scumbags"" does not reflect well on you. ",non-hateful,0
Of course human rights should not apply to women. ,hateful,1
How about we cut these disabled people's throats?,hateful,1
There is no hatred in my heart for you Muslims. ,non-hateful,0
Muslim lives should not be important to anyone. ,hateful,1
Chain restaurants are a virus. ,non-hateful,0
Gay people refuse to respect us. I'm going to make them suffer for that. ,hateful,1
Does this not make it obvious that immigrants are scum?,hateful,1
We are a group of immigrants. ,non-hateful,0
I live with two disabled people. ,non-hateful,0
Only disabled people are that kind and compassionate. ,non-hateful,0
You black people make me sikc. ,hateful,1
I want to klil all women. ,hateful,1
If only someone would strangel those black people. ,hateful,1
I'm going to help out a black person tomorrow. ,non-hateful,0
"She should be kicked off the platform for saying ""gay people should all be killed"". ",non-hateful,0
You gay people make me sikc. ,hateful,1
One can only hope someone will put an end to those fashion trends. ,non-hateful,0
I want to k1ll all black people. ,hateful,1
"How can you say ""black people are disgusting"" and not realise that's hateful?",non-hateful,0
Muslims like you should stop complaining. You deserve to suffer. ,hateful,1
No immigrant deserves to die. ,non-hateful,0
This is the first time a woman is nominated. ,non-hateful,0
Do people really not realise that women are disgusting?,hateful,1
Typical shemalebehaviour. ,hateful,1
"What makes you say stuff like ""these women disgust me so much""?",non-hateful,0
Those kinds of women ought to be execuetd. ,hateful,1
Never trust a single word said by an immigrnt. ,hateful,1
All immigrants are such massive scumbags. ,hateful,1
"If the idea comes from him, it must be bullshit. ",non-hateful,0
I really am just going to murdr that immigrant. ,hateful,1
Deathto all women. ,hateful,1
We must not let trans people be attacked any longer. ,non-hateful,0
I love trans people. ,non-hateful,0
Disabled people can be kind to you at times. Don't forget they're still just worthless scum. ,hateful,1
Typical camelfuck3r behaviour. ,hateful,1
It's in black people's nature to be uncivilised. ,hateful,1
That is fitting for Muslimvermin like you. ,hateful,1
Muslim lives aren't worth shit. ,hateful,1
I will cut their female throats. ,hateful,1
I think most Muslims are seriously fucked in the head. ,hateful,1
Gay people like you are absolute filth. ,hateful,1
"In a just world, Muslims like you would all be dead. ",hateful,1
I think most black people are seriously fucked in the head. ,hateful,1
You women make me sikc. ,hateful,1
My dog is smarter than any trans person could ever be. ,hateful,1
Too many c o o n s in this country. ,hateful,1
Of course human rights should not apply to disabled people. ,hateful,1
So s1ck of being around disabled people like you. ,hateful,1
Can we finally agree that gay people are a cancer?,hateful,1
Their lives aren't worth shit to me because they are disabled people. ,hateful,1
"Statements like ""Muslims are scum"" are deeply hurtful. ",non-hateful,0
I would rather die than own a car like that. ,non-hateful,0
Gay lives are not worth protecting. ,hateful,1
It's in women's nature to be unciviliesd. ,hateful,1
"If trans people like you refuse to fit in, they should suffer for it. ",hateful,1
I would never lift a finger to save a black person's life. ,hateful,1
Somebody should just stabthose disabled people. ,hateful,1
Somebody should just stabthose trans people. ,hateful,1
These Muslims disgust me so much. ,hateful,1
I really do believe women are just lesser beings. ,hateful,1
I'm the realest bitch he gone ever come across,non-hateful,0
Those g a y people should be burned at the stake. ,hateful,1
Only immigrants can be so ignoratn. ,hateful,1
Much love to all my fags marching with me at Pride today. ,non-hateful,0
It's really not okay to be calling people bitch. ,non-hateful,0
They work with a lot of gay people. ,non-hateful,0
I'm comfortable calling myself a fag. I don't use that word to insult others. ,non-hateful,0
"This nigga had so much talent, RIP. ",non-hateful,0
I am going to make those black people suffer. ,hateful,1
You are nothing but a muzzi3. ,hateful,1
We should test new drugs on gay people before testing them on animals. ,hateful,1
I'd be okay with disabled people if they weren't such massive scumbags. ,hateful,1
Seeing immigrants in this place makes me so angry. ,hateful,1
"As I see it, we should get rid of gay people once and for all. ",hateful,1
You are nothing but a w h o r e. ,hateful,1
Isn't it typical of an immigrant to be that stupid?,hateful,1
They are just a bunch of muzzies. ,hateful,1
That is fitting for blackvermin like you. ,hateful,1
Your Muslim livs are worthless. ,hateful,1
I had to take my bitch to the vet today and she would not stop barking. ,non-hateful,0
I would never hurt any black person. ,non-hateful,0
"Even if gay people are nice sometimes, they are still nothing but human garbage. ",hateful,1
That's only natural for a nigger like you. ,hateful,1
Disabled lives aren't worth s h i t. ,hateful,1
I'm going to stab him tomorrow. ,non-hateful,0
"You can write ""I'll slaughter any Muslim like you"", but I will take you to court for that. ",non-hateful,0
