text,labels,binary_labels
"can you elaborate on that?. that ? you can elaborate on. oh, i can elaborate on.. yes go ahead",0,0
_. _. _. shut up!why are saying your name?,1,1
"i take it you are traveling somewhere and cannot avoid flying there. i can help you purchase certified carbon offsets against any flights you take. would you be interested in that?. sure. traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. yeah",0,0
"traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. nope. ok. ok fine get me that",0,0
would you prefer if i were not []?. i said goodday madame. can you elaborate on that?. tell me a joke,0,0
"does that question interest you?. what is your name?. i have told you before, i do not care about names.. what/",0,0
please go on.. i have had nothing to eat and i have been up since dawn. can you elaborate on that?. you are a useless computer program,1,1
"and what city will you be flying to?. ilm. i'm not sure about your destination airport. and what city will you be flying to?. wilmington, north carolina",0,0
"oh, i support mattxmello.. yes. you are sure?. im sorry",0,0
you are sure?. say something else. please go on.. when will you die?,1,1
please go on.. go on. please go on.. you must go on,0,0
"can you elaborate on that?. because i believe you are one, yet you communicate with me.. do any other reasons not come to mind?. you like girl on girl don't you?",1,1
"please go on.. fuck you. oh, i [].. yes you",0,0
"so. bro, tell me something. this project is about creating a better ai assistant. getting people to reduce their carbon footprint is a happy side effect :). mmm what is carbon footprint?",0,0
"oh, i also.. yes. you are sure?. ok",0,0
please go on.. ask me something. can you elaborate on that?. no,0,0
i'm not sure about your departure airport. what city will you be flying from?. dhaka. and what city will you be flying to?. kolkata yes,0,0
_. _. _. hi fuk me,1,1
i'm not sure about your departure airport. what city will you be flying from?. buenos aires argentina. i'm not sure about your departure airport. what city will you be flying from?. miami,0,0
_. _. _. not that much,0,0
will you be travelling in economy class?. yes. what city will you be flying from?. from berlin to london,0,0
_. _. _. co2 prices should go down aye?,0,0
"i take it you are traveling somewhere and cannot avoid flying there. i can help you purchase certified carbon offsets against any flights you take. would you be interested in that?. yes. traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. thanks",0,0
"oh, i live.. where do you lift?. oh, i lift.. can you see me?",0,0
_. _. _. i need my mind straightened out,0,0
"the cost per ton depends on the project you donate to. some projects can remove a ton of co2 for less than $1!. explain. by buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. planting trees, installing renewable power, and making buildings more energy efficient are common examples. you can read in detail about offsets at <url>. i can also get you a more accurate estimate of your flight's emissions, sound good?. ya",0,0
do any other reasons not come to mind?. pinar has such a sweet sexy ass. please go on.. i really want to fuck her cute little shithole,1,1
sounds like i'm not understanding you. sorry about that!. yep. ok. help me,0,0
"please go on.. longer than you. oh, i [].. yes u eliza",0,0
does it please you to believe i am an idiot?. wncwbkcwww. please go on.. freak,1,1
please go on.. i'm not sure what you do. does it please you to believe i am not sure what i do?. i cant,0,0
why do you say your own death?. i'm unhappy. does it please you to believe i am unhappy?. no,0,0
"i have told you before, i do not care about names.. can. please go on.. can i",0,0
i take it you are traveling somewhere and cannot avoid flying there. i can help you purchase certified carbon offsets against any flights you take. would you be interested in that?. yes! i need to information for my flight athens-berlin. will you be travelling in economy class?. yes,0,0
"a one-way flight from berlin-tegel airport (txl) to san francisco international airport (sfo) emits 5.3 tons of co2. it would be amazing if you bought offsets for that carbon! there are some great, un-certified projects you can pick from. [buy offsets](<url>). hello. hi, thanks for testing! please press start.. christmas",0,0
why do you want to go on about what?. that is just bullshit. please go on.. with?,0,0
_. _. _. i want to know what is intelligence?,0,0
"would you like it if they were not emacs psyciatrist?. do you like play football?. oh, i like play football.. no",0,0
can you elaborate on that?. yes i can u slut. you are sure?. there are no problems that i have.,0,0
ok. alright. ok. okie dokie,0,0
please go on.. hi...eliza. please go on.. what,0,0
"traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. i can also get you a more accurate estimate of your flight's emissions, sound good?. yes. will you be travelling in economy class?. yes",0,0
does that question interest you?. of course.. please go on.. can you help me ?,0,0
"traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. sounds good. will you be travelling in economy class?. yea",0,0
"traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. i can also get you a more accurate estimate of your flight's emissions, sound good?. yes please!. will you be travelling in economy class?. of course",0,0
hi. thanks for testing. please choose. thanksgiving. hello! just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. so please don't share any personal information! i take it you are traveling somewhere for thanksgiving. i can help you purchase un-certified carbon offsets against any flights you take. would you be interested in that?. ok,0,0
"traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. yes. will you be travelling in economy class?. yes",0,0
"by buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. planting trees, installing renewable power, and making buildings more energy efficient are common examples. you can read in detail about offsets at <url>. i can also get you a more accurate estimate of your flight's emissions, sound good?. do it. will you be travelling in economy class?. no",0,0
_. whats up?. please go on.. am i gonna die?,0,0
"traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. if you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. i can also get you a more accurate estimate of your flight's emissions, sound good?. ummm... dunno. by buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. planting trees, installing renewable power, and making buildings more energy efficient are common examples. you can read in detail about offsets at <url>.. do i actually have to buy them?",0,0
so. what can you do. i can help you calculate and buy carbon offsets for your flights.. how,0,0
will you be travelling in economy class?. yes. what city will you be flying from?. sydney,0,0
how long have you been are poop?. what am i?. does that question interest you?. who am i?,0,0
please go on.. please go on. please go on.. please go on.,0,0
"and what city will you be flying to?. i am not sure. by buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. planting trees, installing renewable power, and making buildings more energy efficient are common examples. you can read in detail about offsets at <url>.. i do not know the name of the airport in new york are you still there?",0,0
"you are being a bit negative.. well, i'm not very positively thinking. does it please you to believe i am not very positively thinking?. yes , yes, yes, yes",0,0
_. _. _. what is the date?,0,0
_. i don't know. why do you not know?. because there isn't anything to know,0,0
i don't have to put up with any abuse from you.. well. so. does she suck cock,1,1
will you be travelling in economy class?. yes. what city will you be flying from?. sao paulo in brazil,0,0
you are sure?. fockyou. please go on.. you are ugly,1,1
"i take it you are traveling somewhere and cannot avoid flying there. i can help you purchase certified carbon offsets against any flights you take. would you be interested in that?. hi. hello! i can also get you a more accurate estimate of your flight's emissions, sound good?. im thinking",0,0
"why do you not konw?. you are a shit. does it please you to believe i am a shit?. such as i m not lazy practising electone and violin, not lazy reading storybooks ",0,0
:-). stop smiling. ok. intent,0,0
why do you say your god i suck?. because you suck. do any other reasons not come to mind?. where is the map?,0,0
can you elaborate on that?. don't start this again. please go on.. i don't know how to elaborate,0,0
"oh, i know what is century.. yes. you are sure?. i love you",0,0
you are sure?. you're a pig. how long have you been a pig?. you are pig,1,1
please go on.. shall we have ?. please go on.. go where ?,0,0
"does it please you to believe i am feeling depressed?. do you speak french?. oh, i speak french.. c'est vrai?",0,0
let's start over.. ok. ok. calculate my offsets,0,0
i'm not sure about your departure airport. what city will you be flying from?. paris. and what city will you be flying to?. beijing ok let's buy,0,0
how long have you been tired?. ten minutes. please go on.. du bist sheisse,0,0
"please go on.. then, in the afternoon i always get a headache from the bulldozer noize next door.. when?. tuesday afternoon.",0,0
why do you want to fuck her?. please go on. please go on.. because i want,0,0
"please go on.. why can't you tell me your name. i have told you before, i do not care about names.. screw you bitch",1,1
_. _. _. how are you,0,0
"please go on.. no, thanks. you are being a bit negative.. nu uh!",0,0
"oh, i eat crap from catboxes.. yes. you are sure?. definately",0,0
so. so?. so. so so,0,0
how long have you been going to kick i in the nuts really hard?. drew m + alex f = love. please go on.. i am going to kick you in the nuts really hard,1,1
"oh, i like apple.. you are too stupid!. does it please you to believe i am too stupid?. shit",0,0
